Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
Chiropractors,29-1011,Individual Jobs,47.4,53.3,0.0,0.0,5.9,12.5,1.8,3.0,Doctoral or professional degree,67520.0,None,None
Dentists,29-1020,Job Categories,153.5,182.8,0.1,0.1,29.3,19.1,7.3,3.0,—,159770.0,—,—
"Dentists, general",29-1021,Individual Jobs,132.8,158.5,0.1,0.1,25.7,19.4,6.4,4.0,Doctoral or professional degree,153900.0,None,None
Oral and maxillofacial surgeons,29-1022,Individual Jobs,6.8,8.1,0.0,0.0,1.3,19.1,0.3,4.0,Doctoral or professional degree,0.0,None,Internship/residency
Orthodontists,29-1023,Individual Jobs,6.6,7.8,0.0,0.0,1.3,19.3,0.3,4.0,Doctoral or professional degree,0.0,None,Internship/residency
Prosthodontists,29-1024,Individual Jobs,0.9,1.1,0.0,0.0,0.2,19.1,0.0,4.0,Doctoral or professional degree,126050.0,None,Internship/residency
"Dentists, all other specialists",29-1029,Individual Jobs,6.4,7.3,0.0,0.0,0.9,13.3,0.3,4.0,Doctoral or professional degree,173000.0,None,Internship/residency
Dietitians and nutritionists,29-1031,Individual Jobs,68.0,77.9,0.0,0.0,9.9,14.6,5.4,3.0,Bachelor's degree,58920.0,None,Internship/residency
Optometrists,29-1041,Individual Jobs,40.2,47.4,0.0,0.0,7.2,17.9,2.0,3.0,Doctoral or professional degree,106140.0,None,None
Pharmacists,29-1051,Individual Jobs,312.5,329.9,0.2,0.2,17.4,5.6,15.3,3.0,Doctoral or professional degree,122230.0,None,None
Physicians and surgeons,29-1060,Job Categories,713.8,805.2,0.5,0.5,91.4,12.8,28.6,3.0,—,0.0,—,—
Anesthesiologists,29-1061,Individual Jobs,33.0,38.1,0.0,0.0,5.1,15.4,1.4,4.0,Doctoral or professional degree,0.0,None,Internship/residency
Family and general practitioners,29-1062,Individual Jobs,134.8,154.1,0.1,0.1,19.2,14.3,5.6,4.0,Doctoral or professional degree,190490.0,None,Internship/residency
"Internists, general",29-1063,Individual Jobs,49.8,57.0,0.0,0.0,7.3,14.6,2.1,4.0,Doctoral or professional degree,196380.0,None,Internship/residency
Obstetricians and gynecologists,29-1064,Individual Jobs,21.7,25.0,0.0,0.0,3.4,15.5,0.9,4.0,Doctoral or professional degree,0.0,None,Internship/residency
"Pediatricians, general",29-1065,Individual Jobs,29.6,34.1,0.0,0.0,4.6,15.4,1.3,4.0,Doctoral or professional degree,168990.0,None,Internship/residency
Psychiatrists,29-1066,Individual Jobs,27.5,30.6,0.0,0.0,3.1,11.2,1.1,4.0,Doctoral or professional degree,194740.0,None,Internship/residency
Surgeons,29-1067,Individual Jobs,45.0,51.5,0.0,0.0,6.5,14.4,1.9,4.0,Doctoral or professional degree,0.0,None,Internship/residency
"Physicians and surgeons, all other",29-1069,Individual Jobs,372.4,414.7,0.2,0.2,42.3,11.4,14.3,4.0,Doctoral or professional degree,206920.0,None,Internship/residency
Physician assistants,29-1071,Individual Jobs,106.2,145.9,0.1,0.1,39.6,37.3,10.6,3.0,Master's degree,101480.0,None,None
Podiatrists,29-1081,Individual Jobs,11.0,12.2,0.0,0.0,1.1,10.3,0.7,3.0,Doctoral or professional degree,124830.0,None,Internship/residency
Therapists,29-1120,Job Categories,723.0,888.0,0.5,0.5,165.0,22.8,53.3,3.0,—,75020.0,—,—
Occupational therapists,29-1122,Individual Jobs,130.4,161.4,0.1,0.1,31.0,23.8,10.2,4.0,Master's degree,81910.0,None,None
Physical therapists,29-1123,Individual Jobs,239.8,306.9,0.2,0.2,67.1,28.0,17.7,4.0,Doctoral or professional degree,85400.0,None,None
Radiation therapists,29-1124,Individual Jobs,19.1,21.5,0.0,0.0,2.4,12.8,1.2,4.0,Associate's degree,80160.0,None,None
Recreational therapists,29-1125,Individual Jobs,19.2,20.5,0.0,0.0,1.3,6.5,1.2,4.0,Bachelor's degree,46410.0,None,None
Respiratory therapists,29-1126,Individual Jobs,130.2,160.6,0.1,0.1,30.5,23.4,9.8,4.0,Associate's degree,58670.0,None,None
Speech-language pathologists,29-1127,Individual Jobs,145.1,171.0,0.1,0.1,25.9,17.8,10.4,4.0,Master's degree,74680.0,None,Internship/residency
Exercise physiologists,29-1128,Individual Jobs,15.1,17.1,0.0,0.0,2.0,13.1,1.1,4.0,Bachelor's degree,47340.0,None,None
"Therapists, all other",29-1129,Individual Jobs,24.1,28.9,0.0,0.0,4.8,19.9,1.9,4.0,Bachelor's degree,56700.0,None,None
Veterinarians,29-1131,Individual Jobs,79.6,94.6,0.1,0.1,15.0,18.8,4.5,3.0,Doctoral or professional degree,88770.0,None,None
Registered nurses,29-1141,Individual Jobs,2955.2,3393.2,1.9,2.0,438.1,14.8,203.7,3.0,Bachelor's degree,68450.0,None,None
Nurse anesthetists,29-1151,Individual Jobs,41.8,48.6,0.0,0.0,6.8,16.2,2.8,3.0,Master's degree,160270.0,None,None
Nurse midwives,29-1161,Individual Jobs,6.5,7.8,0.0,0.0,1.3,20.7,0.5,3.0,Master's degree,99770.0,None,None
Nurse practitioners,29-1171,Individual Jobs,155.5,211.6,0.1,0.1,56.1,36.1,14.4,3.0,Master's degree,100910.0,None,None
Audiologists,29-1181,Individual Jobs,14.8,17.8,0.0,0.0,3.1,20.7,1.0,3.0,Doctoral or professional degree,75980.0,None,None
"Health diagnosing and treating practitioners, all other",29-1199,Individual Jobs,56.4,63.9,0.0,0.0,7.5,13.3,3.8,3.0,Master's degree,74530.0,None,None
Health technologists and technicians,29-2000,Job Categories,3093.5,3514.6,2.0,2.1,421.1,13.6,258.1,2.0,—,42750.0,—,—
Clinical laboratory technologists and technicians,29-2010,Job Categories,335.7,378.4,0.2,0.2,42.7,12.7,25.9,3.0,—,50930.0,—,—
Medical and clinical laboratory technologists,29-2011,Individual Jobs,171.4,191.2,0.1,0.1,19.8,11.5,12.9,4.0,Bachelor's degree,61070.0,None,None
Medical and clinical laboratory technicians,29-2012,Individual Jobs,164.2,187.2,0.1,0.1,22.9,14.0,12.9,4.0,Associate's degree,38950.0,None,None
Dental hygienists,29-2021,Individual Jobs,207.9,248.9,0.1,0.1,40.9,19.7,17.5,3.0,Associate's degree,72910.0,None,None
Diagnostic related technologists and technicians,29-2030,Job Categories,384.1,437.5,0.2,0.3,53.4,13.9,26.2,3.0,—,61160.0,—,—
Cardiovascular technologists and technicians,29-2031,Individual Jobs,55.0,60.5,0.0,0.0,5.5,9.9,3.5,4.0,Associate's degree,55570.0,None,None
Diagnostic medical sonographers,29-2032,Individual Jobs,67.3,82.9,0.0,0.0,15.6,23.2,5.4,4.0,Associate's degree,69650.0,None,None
Nuclear medicine technologists,29-2033,Individual Jobs,20.1,22.1,0.0,0.0,2.0,9.8,1.3,4.0,Associate's degree,74350.0,None,None
