Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
Automotive service technicians and mechanics,49-3023,Individual Jobs,749.9,795.8,0.5,0.5,45.9,6.1,75.6,4.0,Postsecondary nondegree award,38470.0,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,Individual Jobs,278.8,304.6,0.2,0.2,25.8,9.2,28.2,3.0,High school diploma or equivalent,45170.0,None,Long-term on-the-job training
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Job Categories,192.1,207.0,0.1,0.1,14.9,7.8,20.3,3.0,—,47690.0,—,—
Farm equipment mechanics and service technicians,49-3041,Individual Jobs,42.5,45.7,0.0,0.0,3.2,7.6,4.5,4.0,High school diploma or equivalent,37820.0,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,Individual Jobs,127.4,137.9,0.1,0.1,10.5,8.3,13.5,4.0,High school diploma or equivalent,49370.0,None,Long-term on-the-job training
Rail car repairers,49-3043,Individual Jobs,22.3,23.4,0.0,0.0,1.2,5.2,2.3,4.0,High school diploma or equivalent,55000.0,None,Long-term on-the-job training
Small engine mechanics,49-3050,Job Categories,79.3,83.1,0.1,0.0,3.8,4.8,8.7,3.0,—,35280.0,—,—
Motorboat mechanics and service technicians,49-3051,Individual Jobs,23.4,23.3,0.0,0.0,-0.1,-0.5,2.4,4.0,High school diploma or equivalent,38780.0,None,Long-term on-the-job training
Motorcycle mechanics,49-3052,Individual Jobs,18.3,18.4,0.0,0.0,0.0,0.3,1.9,4.0,Postsecondary nondegree award,34720.0,None,Short-term on-the-job training
Outdoor power equipment and other small engine mechanics,49-3053,Individual Jobs,37.6,41.5,0.0,0.0,3.9,10.3,4.4,4.0,High school diploma or equivalent,33730.0,None,Moderate-term on-the-job training
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Job Categories,138.0,142.3,0.1,0.1,4.3,3.1,17.6,3.0,—,26140.0,—,—
Bicycle repairers,49-3091,Individual Jobs,12.4,16.1,0.0,0.0,3.6,29.3,2.1,4.0,High school diploma or equivalent,27630.0,None,Moderate-term on-the-job training
Recreational vehicle service technicians,49-3092,Individual Jobs,13.8,13.7,0.0,0.0,-0.2,-1.1,1.7,4.0,High school diploma or equivalent,36430.0,None,Long-term on-the-job training
Tire repairers and changers,49-3093,Individual Jobs,111.7,112.5,0.1,0.1,0.8,0.7,13.8,4.0,High school diploma or equivalent,25040.0,None,Short-term on-the-job training
"Other installation, maintenance, and repair occupations",49-9000,Job Categories,3065.0,3311.1,2.0,2.0,246.1,8.0,325.9,2.0,—,40930.0,—,—
Control and valve installers and repairers,49-9010,Job Categories,67.3,71.6,0.0,0.0,4.4,6.5,5.6,3.0,—,47980.0,—,—
Mechanical door repairers,49-9011,Individual Jobs,20.4,22.5,0.0,0.0,2.1,10.2,1.8,4.0,High school diploma or equivalent,38480.0,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door",49-9012,Individual Jobs,46.9,49.2,0.0,0.0,2.3,4.9,3.8,4.0,High school diploma or equivalent,54520.0,None,Moderate-term on-the-job training
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Individual Jobs,332.9,381.7,0.2,0.2,48.8,14.7,38.7,3.0,Postsecondary nondegree award,45910.0,None,Long-term on-the-job training
Home appliance repairers,49-9031,Individual Jobs,46.6,44.7,0.0,0.0,-1.9,-4.2,4.0,3.0,High school diploma or equivalent,37570.0,None,Moderate-term on-the-job training
"Industrial machinery installation, repair, and maintenance workers",49-9040,Job Categories,477.7,509.7,0.3,0.3,32.0,6.7,46.9,3.0,—,49080.0,—,—
Industrial machinery mechanics,49-9041,Individual Jobs,346.9,370.1,0.2,0.2,23.2,6.7,33.0,4.0,High school diploma or equivalent,50040.0,None,Long-term on-the-job training
"Maintenance workers, machinery",49-9043,Individual Jobs,89.7,94.7,0.1,0.1,5.0,5.6,9.8,4.0,High school diploma or equivalent,44550.0,None,Long-term on-the-job training
Millwrights,49-9044,Individual Jobs,39.5,43.4,0.0,0.0,3.9,9.8,4.0,4.0,High school diploma or equivalent,52440.0,None,Apprenticeship
"Refractory materials repairers, except brickmasons",49-9045,Individual Jobs,1.6,1.5,0.0,0.0,-0.1,-3.5,0.1,4.0,High school diploma or equivalent,45230.0,None,Moderate-term on-the-job training
Line installers and repairers,49-9050,Job Categories,227.0,245.3,0.1,0.1,18.4,8.1,22.4,3.0,—,62650.0,—,—
Electrical power-line installers and repairers,49-9051,Individual Jobs,120.9,137.7,0.1,0.1,16.8,13.9,11.7,4.0,High school diploma or equivalent,68010.0,None,Long-term on-the-job training
Telecommunications line installers and repairers,49-9052,Individual Jobs,106.1,107.7,0.1,0.1,1.6,1.5,10.7,4.0,High school diploma or equivalent,52590.0,None,Long-term on-the-job training
Precision instrument and equipment repairers,49-9060,Job Categories,73.8,75.7,0.0,0.0,2.0,2.7,6.6,3.0,—,47220.0,—,—
Camera and photographic equipment repairers,49-9061,Individual Jobs,4.0,4.1,0.0,0.0,0.1,2.3,0.4,4.0,High school diploma or equivalent,41060.0,None,Long-term on-the-job training
Medical equipment repairers,49-9062,Individual Jobs,47.1,49.1,0.0,0.0,2.0,4.3,4.3,4.0,Associate's degree,48070.0,None,Moderate-term on-the-job training
Musical instrument repairers and tuners,49-9063,Individual Jobs,8.3,8.4,0.0,0.0,0.1,1.2,0.7,4.0,High school diploma or equivalent,35010.0,None,Apprenticeship
Watch repairers,49-9064,Individual Jobs,1.8,1.2,0.0,0.0,-0.5,-29.7,0.1,4.0,High school diploma or equivalent,36740.0,None,Long-term on-the-job training
"Precision instrument and equipment repairers, all other",49-9069,Individual Jobs,12.6,12.8,0.0,0.0,0.3,2.1,1.1,4.0,High school diploma or equivalent,56230.0,None,Long-term on-the-job training
"Maintenance and repair workers, general",49-9071,Individual Jobs,1432.6,1545.1,0.9,0.9,112.5,7.9,154.7,3.0,High school diploma or equivalent,36940.0,None,Moderate-term on-the-job training
Wind turbine service technicians,49-9081,Individual Jobs,5.8,11.3,0.0,0.0,5.6,96.3,1.4,3.0,Postsecondary nondegree award,52260.0,None,Long-term on-the-job training
"Miscellaneous installation, maintenance, and repair workers",49-9090,Job Categories,401.4,425.8,0.3,0.3,24.5,6.1,45.6,3.0,—,34170.0,—,—
"Coin, vending, and amusement machine servicers and repairers",49-9091,Individual Jobs,36.6,32.0,0.0,0.0,-4.6,-12.5,3.3,4.0,High school diploma or equivalent,33070.0,None,Short-term on-the-job training
Commercial divers,49-9092,Individual Jobs,4.1,4.5,0.0,0.0,0.4,10.8,0.4,4.0,Postsecondary nondegree award,49090.0,None,Moderate-term on-the-job training
"Fabric menders, except garment",49-9093,Individual Jobs,0.7,0.6,0.0,0.0,0.0,-7.3,0.1,4.0,High school diploma or equivalent,26920.0,None,Long-term on-the-job training
Locksmiths and safe repairers,49-9094,Individual Jobs,28.7,27.8,0.0,0.0,-1.0,-3.3,2.5,4.0,High school diploma or equivalent,40420.0,None,Long-term on-the-job training
Manufactured building and mobile home installers,49-9095,Individual Jobs,4.3,4.0,0.0,0.0,-0.4,-8.9,0.3,4.0,High school diploma or equivalent,29810.0,None,Short-term on-the-job training
Riggers,49-9096,Individual Jobs,20.9,22.9,0.0,0.0,2.1,9.8,2.3,4.0,High school diploma or equivalent,45690.0,None,Moderate-term on-the-job training
Signal and track switch repairers,49-9097,Individual Jobs,10.0,10.2,0.0,0.0,0.1,1.3,1.0,4.0,High school diploma or equivalent,65350.0,None,Moderate-term on-the-job training
"Helpers--installation, maintenance, and repair workers",49-9098,Individual Jobs,120.2,133.5,0.1,0.1,13.3,11.1,17.0,4.0,High school diploma or equivalent,27510.0,None,Short-term on-the-job training
"Installation, maintenance, and repair workers, all other",49-9099,Individual Jobs,175.8,190.3,0.1,0.1,14.5,8.2,18.7,4.0,High school diploma or equivalent,38480.0,None,Moderate-term on-the-job training
Production occupations,51-0000,Job Categories,9356.9,8950.0,6.0,5.3,-406.9,-4.3,990.4,1.0,—,33130.0,—,—
Supervisors of production workers,51-1000,Job Categories,621.4,619.5,0.4,0.4,-1.8,-0.3,59.3,2.0,—,57780.0,—,—
First-line supervisors of production and operating workers,51-1011,Individual Jobs,621.4,619.5,0.4,0.4,-1.8,-0.3,59.3,3.0,High school diploma or equivalent,57780.0,Less than 5 years,None
Assemblers and fabricators,51-2000,Job Categories,1819.3,1557.4,1.2,0.9,-261.9,-14.4,166.9,2.0,—,30930.0,—,—
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Individual Jobs,41.8,34.5,0.0,0.0,-7.3,-17.4,3.2,3.0,High school diploma or equivalent,50050.0,None,Moderate-term on-the-job training
"Electrical, electronics, and electromechanical assemblers",51-2020,Job Categories,278.7,220.4,0.2,0.1,-58.4,-20.9,23.1,3.0,—,31730.0,—,—
"Coil winders, tapers, and finishers",51-2021,Individual Jobs,14.1,11.2,0.0,0.0,-2.9,-20.7,1.2,4.0,High school diploma or equivalent,33940.0,None,Moderate-term on-the-job training
Electrical and electronic equipment assemblers,51-2022,Individual Jobs,218.9,173.3,0.1,0.1,-45.6,-20.8,18.2,4.0,High school diploma or equivalent,31310.0,None,Moderate-term on-the-job training
Electromechanical equipment assemblers,51-2023,Individual Jobs,45.7,35.9,0.0,0.0,-9.8,-21.4,3.8,4.0,High school diploma or equivalent,33350.0,None,Moderate-term on-the-job training
Engine and other machine assemblers,51-2031,Individual Jobs,38.0,31.5,0.0,0.0,-6.5,-17.2,2.8,3.0,High school diploma or equivalent,41210.0,None,Moderate-term on-the-job training
Structural metal fabricators and fitters,51-2041,Individual Jobs,77.0,65.2,0.0,0.0,-11.8,-15.3,6.5,3.0,High school diploma or equivalent,37730.0,None,Moderate-term on-the-job training
Miscellaneous assemblers and fabricators,51-2090,Job Categories,1383.8,1205.8,0.9,0.7,-178.0,-12.9,131.3,3.0,—,29840.0,—,—
Fiberglass laminators and fabricators,51-2091,Individual Jobs,19.7,19.4,0.0,0.0,-0.3,-1.5,2.2,4.0,High school diploma or equivalent,30870.0,None,Moderate-term on-the-job training
Team assemblers,51-2092,Individual Jobs,1130.9,985.9,0.7,0.6,-145.0,-12.8,107.4,4.0,High school diploma or equivalent,30060.0,None,Moderate-term on-the-job training
Timing device assemblers and adjusters,51-2093,Individual Jobs,0.8,0.6,0.0,0.0,-0.2,-20.1,0.1,4.0,High school diploma or equivalent,37040.0,None,Moderate-term on-the-job training
"Assemblers and fabricators, all other",51-2099,Individual Jobs,232.4,199.8,0.1,0.1,-32.6,-14.0,21.6,4.0,High school diploma or equivalent,28550.0,None,Moderate-term on-the-job training
Food processing workers,51-3000,Job Categories,823.0,853.7,0.5,0.5,30.7,3.7,110.8,2.0,—,26280.0,—,—
Bakers,51-3011,Individual Jobs,191.0,205.6,0.1,0.1,14.6,7.6,29.1,3.0,No formal educational credential,25090.0,None,Long-term on-the-job training
"Butchers and other meat, poultry, and fish processing workers",51-3020,Job Categories,374.6,384.3,0.2,0.2,9.7,2.6,46.9,3.0,—,26410.0,—,—
Butchers and meat cutters,51-3021,Individual Jobs,135.7,143.5,0.1,0.1,7.8,5.8,17.7,4.0,No formal educational credential,29870.0,None,Long-term on-the-job training
"Meat, poultry, and fish cutters and trimmers",51-3022,Individual Jobs,156.4,157.8,0.1,0.1,1.4,0.9,19.2,4.0,No formal educational credential,24490.0,None,Short-term on-the-job training
Slaughterers and meat packers,51-3023,Individual Jobs,82.5,83.0,0.1,0.0,0.5,0.6,10.1,4.0,No formal educational credential,26590.0,None,Short-term on-the-job training
Miscellaneous food processing workers,51-3090,Job Categories,257.4,263.8,0.2,0.2,6.4,2.5,34.8,3.0,—,27110.0,—,—
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Individual Jobs,20.1,19.9,0.0,0.0,-0.2,-0.8,2.2,4.0,No formal educational credential,28570.0,None,Moderate-term on-the-job training
Food batchmakers,51-3092,Individual Jobs,153.7,156.4,0.1,0.1,2.6,1.7,21.7,4.0,High school diploma or equivalent,27810.0,None,Moderate-term on-the-job training
Food cooking machine operators and tenders,51-3093,Individual Jobs,37.2,38.1,0.0,0.0,0.9,2.5,5.2,4.0,High school diploma or equivalent,28350.0,None,Moderate-term on-the-job training
"Food processing workers, all other",51-3099,Individual Jobs,46.4,49.4,0.0,0.0,3.0,6.5,5.6,4.0,No formal educational credential,24160.0,None,Moderate-term on-the-job training
Metal workers and plastic workers,51-4000,Job Categories,1954.7,1886.1,1.3,1.1,-68.5,-3.5,192.0,2.0,—,37560.0,—,—
Computer control programmers and operators,51-4010,Job Categories,170.7,176.4,0.1,0.1,5.7,3.3,17.5,3.0,—,39290.0,—,—
"Computer-controlled machine tool operators, metal and plastic",51-4011,Individual Jobs,145.7,147.3,0.1,0.1,1.6,1.1,14.5,4.0,High school diploma or equivalent,37880.0,None,Moderate-term on-the-job training
"Computer numerically controlled machine tool programmers, metal and plastic",51-4012,Individual Jobs,25.1,29.2,0.0,0.0,4.1,16.3,3.1,4.0,Postsecondary nondegree award,50580.0,None,Moderate-term on-the-job training
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,Job Categories,120.5,102.1,0.1,0.1,-18.4,-15.3,9.3,3.0,—,35830.0,—,—
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Individual Jobs,72.3,61.3,0.0,0.0,-11.0,-15.2,5.6,4.0,High school diploma or equivalent,33870.0,None,Moderate-term on-the-job training
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,Individual Jobs,19.2,15.5,0.0,0.0,-3.7,-19.2,1.4,4.0,High school diploma or equivalent,36930.0,None,Moderate-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Individual Jobs,29.0,25.3,0.0,0.0,-3.7,-12.9,2.3,4.0,High school diploma or equivalent,40680.0,None,Moderate-term on-the-job training
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Job Categories,332.4,299.1,0.2,0.2,-33.2,-10.0,30.9,3.0,—,33620.0,—,—
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Individual Jobs,192.7,175.9,0.1,0.1,-16.8,-8.7,18.9,4.0,High school diploma or equivalent,32370.0,None,Moderate-term on-the-job training
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Individual Jobs,12.3,9.9,0.0,0.0,-2.4,-19.5,0.9,4.0,High school diploma or equivalent,36410.0,None,Moderate-term on-the-job training
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Individual Jobs,76.2,68.3,0.0,0.0,-7.8,-10.3,6.8,4.0,High school diploma or equivalent,32890.0,None,Moderate-term on-the-job training
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Individual Jobs,33.7,30.8,0.0,0.0,-2.8,-8.4,2.9,4.0,High school diploma or equivalent,38480.0,None,Moderate-term on-the-job training
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Individual Jobs,17.6,14.2,0.0,0.0,-3.4,-19.3,1.3,4.0,High school diploma or equivalent,39840.0,None,Moderate-term on-the-job training
Machinists,51-4041,Individual Jobs,396.2,404.1,0.3,0.2,7.9,2.0,40.7,3.0,High school diploma or equivalent,41700.0,None,Long-term on-the-job training
"Metal furnace operators, tenders, pourers, and casters",51-4050,Job Categories,26.2,22.8,0.0,0.0,-3.4,-13.1,2.0,3.0,—,39220.0,—,—
Metal-refining furnace operators and tenders,51-4051,Individual Jobs,17.7,16.3,0.0,0.0,-1.4,-8.1,1.5,4.0,High school diploma or equivalent,41040.0,None,Moderate-term on-the-job training
"Pourers and casters, metal",51-4052,Individual Jobs,8.4,6.5,0.0,0.0,-2.0,-23.4,0.5,4.0,High school diploma or equivalent,36180.0,None,Moderate-term on-the-job training
"Model makers and patternmakers, metal and plastic",51-4060,Job Categories,9.7,8.4,0.0,0.0,-1.3,-13.3,0.8,3.0,—,46600.0,—,—
"Model makers, metal and plastic",51-4061,Individual Jobs,6.3,5.5,0.0,0.0,-0.8,-12.2,0.6,4.0,High school diploma or equivalent,48550.0,None,Moderate-term on-the-job training
"Patternmakers, metal and plastic",51-4062,Individual Jobs,3.4,2.9,0.0,0.0,-0.5,-15.5,0.3,4.0,High school diploma or equivalent,44210.0,None,Moderate-term on-the-job training
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Job Categories,157.9,133.1,0.1,0.1,-24.8,-15.7,13.9,3.0,—,30820.0,—,—
Foundry mold and coremakers,51-4071,Individual Jobs,12.5,9.5,0.0,0.0,-3.0,-24.0,0.9,4.0,High school diploma or equivalent,34790.0,None,Moderate-term on-the-job training
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Individual Jobs,145.4,123.6,0.1,0.1,-21.8,-15.0,12.9,4.0,High school diploma or equivalent,30480.0,None,Moderate-term on-the-job training
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Individual Jobs,117.8,114.7,0.1,0.1,-3.1,-2.7,12.0,3.0,High school diploma or equivalent,34340.0,None,Moderate-term on-the-job training
Tool and die makers,51-4111,Individual Jobs,72.5,67.3,0.0,0.0,-5.2,-7.2,6.0,3.0,Postsecondary nondegree award,51060.0,None,Long-term on-the-job training
"Welding, soldering, and brazing workers",51-4120,Job Categories,454.0,471.6,0.3,0.3,17.5,3.9,50.2,3.0,—,39110.0,—,—
"Welders, cutters, solderers, and brazers",51-4121,Individual Jobs,404.8,427.3,0.3,0.3,22.5,5.6,45.8,4.0,High school diploma or equivalent,39390.0,None,Moderate-term on-the-job training
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Individual Jobs,49.2,44.2,0.0,0.0,-5.0,-10.2,4.4,4.0,High school diploma or equivalent,36980.0,None,Moderate-term on-the-job training
Miscellaneous metal workers and plastic workers,51-4190,Job Categories,96.7,86.6,0.1,0.1,-10.2,-10.5,8.6,3.0,—,34740.0,—,—
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Individual Jobs,19.8,17.0,0.0,0.0,-2.8,-14.2,1.7,4.0,High school diploma or equivalent,37180.0,None,Moderate-term on-the-job training
"Layout workers, metal and plastic",51-4192,Individual Jobs,9.2,8.5,0.0,0.0,-0.6,-6.9,0.9,4.0,High school diploma or equivalent,45820.0,None,Moderate-term on-the-job training
"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,Individual Jobs,35.3,30.4,0.0,0.0,-4.9,-13.8,2.8,4.0,High school diploma or equivalent,31280.0,None,Moderate-term on-the-job training
"Tool grinders, filers, and sharpeners",51-4194,Individual Jobs,9.5,9.2,0.0,0.0,-0.3,-3.5,1.1,4.0,High school diploma or equivalent,36650.0,None,Moderate-term on-the-job training
"Metal workers and plastic workers, all other",51-4199,Individual Jobs,23.0,21.4,0.0,0.0,-1.5,-6.7,2.2,4.0,High school diploma or equivalent,33280.0,None,Moderate-term on-the-job training
Printing workers,51-5100,Job Categories,267.3,235.4,0.2,0.1,-31.9,-11.9,24.7,2.0,—,35120.0,—,—
Prepress technicians and workers,51-5111,Individual Jobs,34.6,27.7,0.0,0.0,-6.9,-19.9,3.0,3.0,Postsecondary nondegree award,38930.0,None,None
Printing press operators,51-5112,Individual Jobs,178.7,160.2,0.1,0.1,-18.6,-10.4,15.8,3.0,High school diploma or equivalent,35530.0,None,Moderate-term on-the-job training
Print binding and finishing workers,51-5113,Individual Jobs,54.0,47.6,0.0,0.0,-6.5,-12.0,6.0,3.0,High school diploma or equivalent,31410.0,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers",51-6000,Job Categories,654.3,599.9,0.4,0.4,-54.4,-8.3,70.4,2.0,—,23750.0,—,—
Laundry and dry-cleaning workers,51-6011,Individual Jobs,220.1,219.6,0.1,0.1,-0.5,-0.2,29.5,3.0,No formal educational credential,21510.0,None,Short-term on-the-job training
"Pressers, textile, garment, and related materials",51-6021,Individual Jobs,45.0,42.0,0.0,0.0,-3.0,-6.7,5.2,3.0,No formal educational credential,21300.0,None,Short-term on-the-job training
Sewing machine operators,51-6031,Individual Jobs,153.9,128.2,0.1,0.1,-25.7,-16.7,12.3,3.0,No formal educational credential,23670.0,None,Short-term on-the-job training
Shoe and leather workers,51-6040,Job Categories,14.6,13.0,0.0,0.0,-1.6,-11.2,1.2,3.0,—,24600.0,—,—
Shoe and leather workers and repairers,51-6041,Individual Jobs,11.0,9.7,0.0,0.0,-1.3,-11.7,0.8,4.0,High school diploma or equivalent,23940.0,None,Moderate-term on-the-job training
Shoe machine operators and tenders,51-6042,Individual Jobs,3.6,3.3,0.0,0.0,-0.3,-9.5,0.4,4.0,High school diploma or equivalent,26150.0,None,Short-term on-the-job training
"Tailors, dressmakers, and sewers",51-6050,Job Categories,57.7,51.4,0.0,0.0,-6.3,-11.0,6.2,3.0,—,27080.0,—,—
"Sewers, hand",51-6051,Individual Jobs,13.5,11.6,0.0,0.0,-1.8,-13.7,1.4,4.0,No formal educational credential,24520.0,None,Moderate-term on-the-job training
"Tailors, dressmakers, and custom sewers",51-6052,Individual Jobs,44.3,39.8,0.0,0.0,-4.5,-10.1,4.8,4.0,No formal educational credential,28240.0,None,Moderate-term on-the-job training
"Textile machine setters, operators, and tenders",51-6060,Job Categories,79.3,65.4,0.1,0.0,-13.9,-17.5,7.3,3.0,—,27260.0,—,—
Textile bleaching and dyeing machine operators and tenders,51-6061,Individual Jobs,11.3,9.2,0.0,0.0,-2.0,-18.1,1.0,4.0,High school diploma or equivalent,27270.0,None,Short-term on-the-job training
"Textile cutting machine setters, operators, and tenders",51-6062,Individual Jobs,15.0,12.6,0.0,0.0,-2.4,-15.8,1.6,4.0,High school diploma or equivalent,26090.0,None,Moderate-term on-the-job training
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,Individual Jobs,22.2,17.9,0.0,0.0,-4.3,-19.3,2.1,4.0,High school diploma or equivalent,27470.0,None,Short-term on-the-job training
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Individual Jobs,30.8,25.6,0.0,0.0,-5.2,-16.8,2.6,4.0,High school diploma or equivalent,27500.0,None,Moderate-term on-the-job training
"Miscellaneous textile, apparel, and furnishings workers",51-6090,Job Categories,83.7,80.4,0.1,0.0,-3.3,-4.0,8.7,3.0,—,32400.0,—,—
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Individual Jobs,20.2,18.3,0.0,0.0,-1.9,-9.5,2.1,4.0,High school diploma or equivalent,34240.0,None,Moderate-term on-the-job training
Fabric and apparel patternmakers,51-6092,Individual Jobs,5.5,4.6,0.0,0.0,-0.9,-16.1,0.5,4.0,High school diploma or equivalent,39650.0,None,Moderate-term on-the-job training
Upholsterers,51-6093,Individual Jobs,41.6,41.8,0.0,0.0,0.1,0.3,4.2,4.0,High school diploma or equivalent,33050.0,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers, all other",51-6099,Individual Jobs,16.3,15.7,0.0,0.0,-0.7,-4.1,1.8,4.0,High school diploma or equivalent,25890.0,None,Short-term on-the-job training
Woodworkers,51-7000,Job Categories,279.3,282.6,0.2,0.2,3.3,1.2,30.0,2.0,—,30210.0,—,—
Cabinetmakers and bench carpenters,51-7011,Individual Jobs,109.3,111.8,0.1,0.1,2.5,2.3,11.5,3.0,High school diploma or equivalent,33050.0,None,Moderate-term on-the-job training
Furniture finishers,51-7021,Individual Jobs,22.4,22.3,0.0,0.0,-0.1,-0.4,2.0,3.0,High school diploma or equivalent,30550.0,None,Short-term on-the-job training
"Model makers and patternmakers, wood",51-7030,Job Categories,3.7,3.8,0.0,0.0,0.1,3.1,0.4,3.0,—,44320.0,—,—
"Model makers, wood",51-7031,Individual Jobs,1.9,1.9,0.0,0.0,0.1,3.0,0.2,4.0,High school diploma or equivalent,40890.0,None,Moderate-term on-the-job training
"Patternmakers, wood",51-7032,Individual Jobs,1.8,1.8,0.0,0.0,0.1,3.3,0.2,4.0,High school diploma or equivalent,46510.0,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders",51-7040,Job Categories,131.9,132.2,0.1,0.1,0.3,0.2,14.6,3.0,—,28460.0,—,—
"Sawing machine setters, operators, and tenders, wood",51-7041,Individual Jobs,54.8,54.6,0.0,0.0,-0.2,-0.3,6.2,4.0,High school diploma or equivalent,28380.0,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Individual Jobs,77.1,77.5,0.0,0.0,0.5,0.6,8.4,4.0,High school diploma or equivalent,28510.0,None,Moderate-term on-the-job training
"Woodworkers, all other",51-7099,Individual Jobs,12.1,12.5,0.0,0.0,0.4,3.6,1.4,3.0,High school diploma or equivalent,28500.0,None,Moderate-term on-the-job training
Plant and system operators,51-8000,Job Categories,314.0,309.7,0.2,0.2,-4.3,-1.4,27.8,2.0,—,58100.0,—,—
"Power plant operators, distributors, and dispatchers",51-8010,Job Categories,54.7,54.2,0.0,0.0,-0.6,-1.0,4.6,3.0,—,78370.0,—,—
Nuclear power reactor operators,51-8011,Individual Jobs,7.0,6.3,0.0,0.0,-0.7,-10.2,0.5,4.0,High school diploma or equivalent,91170.0,None,Long-term on-the-job training
Power distributors and dispatchers,51-8012,Individual Jobs,11.6,11.3,0.0,0.0,-0.3,-2.5,1.0,4.0,High school diploma or equivalent,81900.0,None,Long-term on-the-job training
Power plant operators,51-8013,Individual Jobs,36.1,36.5,0.0,0.0,0.5,1.3,3.2,4.0,High school diploma or equivalent,74690.0,None,Long-term on-the-job training
Stationary engineers and boiler operators,51-8021,Individual Jobs,35.7,37.5,0.0,0.0,1.7,4.8,3.9,3.0,High school diploma or equivalent,59400.0,None,Long-term on-the-job training
Water and wastewater treatment plant and system operators,51-8031,Individual Jobs,119.2,115.4,0.1,0.1,-3.8,-3.2,9.2,3.0,High school diploma or equivalent,45760.0,None,Long-term on-the-job training
Miscellaneous plant and system operators,51-8090,Job Categories,104.4,102.7,0.1,0.1,-1.7,-1.6,10.0,3.0,—,63430.0,—,—
Chemical plant and system operators,51-8091,Individual Jobs,33.2,30.1,0.0,0.0,-3.1,-9.2,2.8,4.0,High school diploma or equivalent,59920.0,None,Moderate-term on-the-job training
Gas plant operators,51-8092,Individual Jobs,17.3,17.3,0.0,0.0,0.0,0.0,1.7,4.0,High school diploma or equivalent,67580.0,None,Long-term on-the-job training
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Individual Jobs,41.8,43.0,0.0,0.0,1.2,2.8,4.3,4.0,High school diploma or equivalent,67400.0,None,Moderate-term on-the-job training
"Plant and system operators, all other",51-8099,Individual Jobs,12.1,12.4,0.0,0.0,0.2,1.9,1.2,4.0,High school diploma or equivalent,54930.0,None,Moderate-term on-the-job training
Other production occupations,51-9000,Job Categories,2623.7,2605.7,1.7,1.6,-18.1,-0.7,308.6,2.0,—,31520.0,—,—
"Chemical processing machine setters, operators, and tenders",51-9010,Job Categories,121.3,117.6,0.1,0.1,-3.6,-3.0,12.3,3.0,—,43600.0,—,—
Chemical equipment operators and tenders,51-9011,Individual Jobs,74.1,70.4,0.0,0.0,-3.7,-5.0,7.3,4.0,High school diploma or equivalent,47780.0,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Individual Jobs,47.2,47.3,0.0,0.0,0.1,0.1,5.0,4.0,High school diploma or equivalent,38360.0,None,Moderate-term on-the-job training
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,Job Categories,187.7,176.2,0.1,0.1,-11.6,-6.2,19.0,3.0,—,34440.0,—,—
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Individual Jobs,30.2,28.2,0.0,0.0,-2.0,-6.7,3.0,4.0,High school diploma or equivalent,34390.0,None,Moderate-term on-the-job training
